author_last_name, authors, title
Lawrence, D. H. Lawrence, Lady Chatterley’s Lover
Vidal, Gore Vidal, The Last Empire: Essays 1992–2000
Manchester, William Manchester, "The Last Lion: Winston Spencer Churchill, Volume I: Visions of Glory, 1874–1932"
Manchester, William Manchester, "The Last Lion: Winston Spencer Churchill, Volume II: Alone, 1932–1940"
Manchester, William Manchester, "The Last Lion: Winston Spencer Churchill, Volume III: Defender of the Realm, 1940–1965"
Whitman, Walt Whitman, Leaves of Grass
Pressfield, Steven Pressfield, The Legend of Bagger Vance
Ellis, Bret Easton Ellis, Less than Zero
Rand, Ayn Rand, Letters of Ayn Rand
Lewis, R. W. B. Lewis, Letters of Edith Wharton
Rilke, Rainer Maria Rilke, Letters to a Young Poet
Aeschylus, Aeschylus, The Libation Bearers
Franken, Al Franken, Lies and the Lying Liars Who Tell Them
Kondo, Marie Kondo, The Life-Changing Magic of Tidying Up
Martel, Yann Martel, Life of Pi
Esquivel, Laura Esquivel, Like Water for Chocolate
Lewis, C.S. Lewis, "The Lion, the Witch and the Wardrobe"
Rubin, "Dr. Theodore Isaac Rubin, M.D.", Lisa and David
Dickens, Charles Dickens, Little Dorrit
Wilder, Laura Ingalls Wilder, Little House in the Big Woods
Hathaway, Katharine Butler Hathaway, The Little Locksmith
Andersen, Hans Christian Andersen, The Little Match Girl
Alcott, Louisa May Alcott, Little Women
Clinton, Hillary Rodham Clinton, Living History
Golding, William Golding, Lord of the Flies
Tolkien, J.R.R. Tolkien, The Lord of the Rings
Jackson, Shirley Jackson, The Lottery: And Other Stories
Sebold, Alice Sebold, The Lovely Bones
Segal, Erich Segal, Love Story
Shakespeare, William Shakespeare, Macbeth
Flaubert, Gustave Flaubert, Madame Bovary
Davies, Robertson Davies, The Manticore
Goldman, William Goldman, Marathon Man
Bulgakov, Mikhail Bulgakov, The Master and Margarita
Cofer, Judith Ortiz Cofer, The Meaning of Consuelo
Beauvoir, Simone De Beauvoir, Memoirs of A Dutiful Daughter
Sherman, William Tecumseh Sherman, The Memoirs of General William T. Sherman
Gray, John Gray, "Men Are from Mars, Women Are from Venus"
Mencken, H.L. Mencken, Mencken’s Chrestomathy
Shakespeare, William Shakespeare, The Merry Wives of Windsor
Sedaris, David Sedaris, Me Talk Pretty One Day
Kafka, Franz Kafka, The Metamorphosis
Eugenides, Jeffrey Eugenides, Middlesex
Shakespeare, William Shakespeare, A Midsummer Night’s Dream
Gibson, William Gibson, The Miracle Worker
King, Stephen King, Misery
Holt, Victoria Holt, Mistress of Mellyn
Melville, Herman Melville, Moby Dick
Irvin, Jim Irvin, The Mojo Collection: The Greatest Albums of All Time
Taylor, Hobart Chatfield Taylor, Moliere: A Biography
Beckett, Samuel Beckett, Molloy
Friedman, Milton Friedman, A Monetary History of the United States
Albaret, Celeste Albaret, Monsieur Proust
Mars, Julie Mars, A Month of Sundays: Searching for the Spirit and My Sister
Craic, Seamus Craic, Motley Crue
Congreve, William Congreve, The Mourning Bride
